action,service,operation_type,risk_level,risk_weight,reason
ec2:GetReservedInstancesExchangeQuote,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigatewayv2:DeleteRoute,API Gateway V2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
glue:CreateSchema,Glue,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
comprehend:DetectSentiment,Comprehend,OTHER,MEDIUM,5,Project-defined review required for this operation.
opensearch:UpdateIndex,OpenSearch,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:DescribeDBInstanceAutomatedBackups,RDS,READ,LOW,2,Primarily reads or inspects AWS state/data.
cognito-idp:DeleteUserPool,Cognito Identity,IDENTITY,HIGH,9,"Can create, modify, or remove an identity or credential."
ec2:DescribeIpamPrefixListResolverTargets,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
iam:CreateInstanceProfile,IAM,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ec2:TerminateClientVpnConnections,EC2,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sagemaker:UpdateClusterSoftware,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:UpdateSSHPublicKey,IAM,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
lambda:GetFunctionUrlConfig,Lambda,READ,LOW,2,Primarily reads or inspects AWS state/data.
kinesis:ListStreamConsumers,Kinesis,READ,LOW,2,Primarily reads or inspects AWS state/data.
glue:GetPlan,Glue,READ,LOW,2,Primarily reads or inspects AWS state/data.
cognito-idp:DescribeManagedLoginBranding,Cognito Identity,READ,LOW,2,Primarily reads or inspects AWS state/data.
redshift:RevokeEndpointAccess,Redshift,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
redshift:DeleteCluster,Redshift,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
ec2:CreateVpnConcentrator,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
opensearch:ListVpcEndpointsForDomain,OpenSearch,READ,LOW,2,Primarily reads or inspects AWS state/data.
ec2:ModifyIpamResourceDiscovery,EC2,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
cloudtrail:StopImport,CloudTrail,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
ec2:AdvertiseByoipCidr,EC2,OTHER,MEDIUM,5,Project-defined review required for this operation.
secretsmanager:GetRandomPassword,Secrets Manager,SECURITY_SENSITIVE,HIGH,8,Can expose or manipulate sensitive security material/access.
guardduty:CreateMembers,GuardDuty,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
bedrock:DeleteCustomModelDeployment,Bedrock,DELETE,HIGH,8,"Can remove, terminate, or destroy AWS resources/data."
sagemaker:ListAIRecommendationJobs,SageMaker,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:StopEdgeDeploymentStage,SageMaker,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
route53:GetHostedZone,Route 53,READ,LOW,2,Primarily reads or inspects AWS state/data.
apigateway:GetStage,API Gateway,READ,LOW,2,Primarily reads or inspects AWS state/data.
s3:RestoreObject,S3,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
iam:GenerateServiceLastAccessedDetails,IAM,OTHER,MEDIUM,5,Project-defined review required for this operation.
bedrock:DeleteAutomatedReasoningPolicyTestCase,Bedrock,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
apigateway:DELETE,apigateway,DELETE,HIGH,8,Deletes API Gateway resources or configuration; potentially destructive.
eks:CreateCluster,EKS,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
bedrock:ListGuardrails,Bedrock,READ,LOW,2,Primarily reads or inspects AWS state/data.
kinesis:IncreaseStreamRetentionPeriod,Kinesis,OTHER,MEDIUM,5,Project-defined review required for this operation.
ec2:DescribeInstanceSqlHaHistoryStates,EC2,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:StopAutoMLJob,SageMaker,MODIFY,MEDIUM,5,Changes or disables an existing resource/service state.
iam:CreateVirtualMFADevice,IAM,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
rds:DescribeDBClusters,RDS,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:UpdateMonitoringAlert,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
route53:AssociateVPCWithHostedZone,Route 53,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
ssm:ListResourceDataSync,Systems Manager,READ,LOW,2,Primarily reads or inspects AWS state/data.
sagemaker:StartEdgeDeploymentStage,SageMaker,WRITE,MEDIUM,5,Creates or modifies AWS resources or service state.
sqs:RemovePermission,SQS,PERMISSION_CHANGE,CRITICAL,10,Can change authorization or grant/restrict permissions.
